,feature,correlation,%
0,iqr_x,-0.07145408216853252,7.1454082168532524
1,duration_x,-0.03535301182838309,3.535301182838309
2,median_x,0.04409906811141011,4.409906811141011
3,mad_x,-0.06992683631902676,6.9926836319026755
4,max_x,-0.09614583785911118,9.614583785911119
5,mean_x,0.024956468991480622,2.495646899148062
6,min_x,0.07495540140898012,7.495540140898012
7,rms_x,-0.07997490433959129,7.997490433959128
8,std_x,-0.0795589245198772,7.95589245198772
9,iqr_y,-0.05729615805217402,5.729615805217402
10,duration_y,-0.03535301182838309,3.535301182838309
11,median_y,-0.006463545967450371,0.646354596745037
12,mad_y,-0.05814429800873728,5.814429800873728
13,max_y,-0.06881926300883816,6.881926300883816
14,mean_y,0.0003938587735143416,0.03938587735143416
15,min_y,0.08263270052745426,8.263270052745426
16,rms_y,-0.0734780769279754,7.34780769279754
17,std_y,-0.07285322189254274,7.285322189254274
18,iqr_z,-0.022749216778935186,2.2749216778935186
19,duration_z,-0.03535301182838309,3.535301182838309
20,median_z,-0.05628935820471219,5.628935820471219
21,mad_z,-0.02826421809878118,2.8264218098781178
22,max_z,-0.016963584876525224,1.6963584876525224
23,mean_z,-0.013351157261733195,1.3351157261733195
24,min_z,0.04704872509857192,4.704872509857192
25,rms_z,-0.03307646038682432,3.3076460386824316
26,std_z,-0.02953978890960177,2.953978890960177
27,iqr_m,-0.07412974931068057,7.4129749310680575
28,duration_m,-0.03535301182838309,3.535301182838309
29,median_m,-0.05859405116463589,5.859405116463589
30,mad_m,-0.07075820725671578,7.075820725671578
31,max_m,-0.07871327523407096,7.871327523407095
32,mean_m,-0.0636710785415798,6.36710785415798
33,min_m,-0.02317772620175477,2.317772620175477
34,rms_m,-0.06874416995271827,6.874416995271828
35,std_m,-0.07859103461950956,7.859103461950956
